[run number],turtle-count,initial_S,initial_P,initial_A,initial_R,initial_H,mu,epsilon,gamma,sigma,zeta,beta_P,beta_A,delta_t,theta_1,theta_2,theta_3,v_nu,mu_h,constant_alpha,alpha_c,m_tilde,b_tilde,c_tilde,constant_mu_a,mu_a_c,d_tilde,e_tilde,[step],"count turtles with [class = ""S""] / turtle-count","count turtles with [class = ""P""] / turtle-count","count turtles with [class = ""A""] / turtle-count","count turtles with [class = ""R""] / turtle-count","count turtles with [class = ""H""] / turtle-count"
4,200,0.892365,0.095,0.0071,0.00507,4.65E-04,0.0071,2.53,0.00505,0.102,0.198,6.54E-05,8.78E-04,0.1,0.222,0.236,19.7,5.31E-04,0.0466,1,0.27,0,0,0,1,0.00883,0,0,0,0.895,0.095,0.005,0.005,0
7,200,0.892365,0.095,0.0071,0.00507,4.65E-04,0.0071,2.53,0.00505,0.102,0.198,6.54E-05,8.78E-04,0.1,0.222,0.236,19.7,5.31E-04,0.0466,1,0.27,0,0,0,1,0.00883,0,0,0,0.895,0.095,0.005,0.005,0
8,200,0.892365,0.095,0.0071,0.00507,4.65E-04,0.0071,2.53,0.00505,0.102,0.198,6.54E-05,8.78E-04,0.1,0.222,0.236,19.7,5.31E-04,0.0466,1,0.27,0,0,0,1,0.00883,0,0,0,0.895,0.095,0.005,0.005,0
5,200,0.892365,0.095,0.0071,0.00507,4.65E-04,0.0071,2.53,0.00505,0.102,0.198,6.54E-05,8.78E-04,0.1,0.222,0.236,19.7,5.31E-04,0.0466,1,0.27,0,0,0,1,0.00883,0,0,0,0.895,0.095,0.005,0.005,0
6,200,0.892365,0.095,0.0071,0.00507,4.65E-04,0.0071,2.53,0.00505,0.102,0.198,6.54E-05,8.78E-04,0.1,0.222,0.236,19.7,5.31E-04,0.0466,1,0.27,0,0,0,1,0.00883,0,0,0,0.895,0.095,0.005,0.005,0
1,200,0.892365,0.095,0.0071,0.00507,4.65E-04,0.0071,2.53,0.00505,0.102,0.198,6.54E-05,8.78E-04,0.1,0.222,0.236,19.7,5.31E-04,0.0466,1,0.27,0,0,0,1,0.00883,0,0,0,0.895,0.095,0.005,0.005,0
2,200,0.892365,0.095,0.0071,0.00507,4.65E-04,0.0071,2.53,0.00505,0.102,0.198,6.54E-05,8.78E-04,0.1,0.222,0.236,19.7,5.31E-04,0.0466,1,0.27,0,0,0,1,0.00883,0,0,0,0.895,0.095,0.005,0.005,0
3,200,0.892365,0.095,0.0071,0.00507,4.65E-04,0.0071,2.53,0.00505,0.102,0.198,6.54E-05,8.78E-04,0.1,0.222,0.236,19.7,5.31E-04,0.0466,1,0.27,0,0,0,1,0.00883,0,0,0,0.895,0.095,0.005,0.005,0
4,200,0.892365,0.095,0.0071,0.00507,4.65E-04,0.0071,2.53,0.00505,0.102,0.198,6.54E-05,8.78E-04,0.1,0.222,0.236,19.7,5.31E-04,0.0466,1,0.27,0,0,0,1,0.00883,0,0,1,0.915,0.075,0.005,0.005,0
6,200,0.892365,0.095,0.0071,0.00507,4.65E-04,0.0071,2.53,0.00505,0.102,0.198,6.54E-05,8.78E-04,0.1,0.222,0.236,19.7,5.31E-04,0.0466,1,0.27,0,0,0,1,0.00883,0,0,1,0.915,0.075,0.005,0.005,0
5,200,0.892365,0.095,0.0071,0.00507,4.65E-04,0.0071,2.53,0.00505,0.102,0.198,6.54E-05,8.78E-04,0.1,0.222,0.236,19.7,5.31E-04,0.0466,1,0.27,0,0,0,1,0.00883,0,0,1,0.94,0.05,0.005,0.005,0
7,200,0.892365,0.095,0.0071,0.00507,4.65E-04,0.0071,2.53,0.00505,0.102,0.198,6.54E-05,8.78E-04,0.1,0.222,0.236,19.7,5.31E-04,0.0466,1,0.27,0,0,0,1,0.00883,0,0,1,0.93,0.055,0.01,0.005,0
